B33.SPo.SPo,B20.SPo.SPo,B34.SPo.SPo,ACIDGAS.T.T,ACIDGAS.P.P,"ACIDGAS.Fcn.CO2.(""CO2"")","ACIDGAS.Fcn.H2O.(""H2O"")","ACIDGAS.Fcn.H2S.(""H2S"")",B18.SPo.SPo,B19.SPo.SPo,BURNER_PC.SPo.SPo,FURANCE_PC.SPo.SPo,CAT1_PC.SPo.SPo,CAT2_PC.SPo.SPo,SEP2_PC.SPo.SPo,SEP1_PC.SPo.SPo,SEP3_PC.SPo.SPo,case_id,base_id,case_type,perturbed_mv,direction,delta
92.27064062000707,216.30933764970575,135.6080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000,0,base,,0,0.0
92.27064062000707,218.80933764970575,135.6080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B20.SPo.SPo_plus,0,perturb,B20.SPo.SPo,1,2.5
92.27064062000707,216.30933764970575,135.6080968198728,84.4,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_ACIDGAS.T.T_plus,0,perturb,ACIDGAS.T.T,1,0.008478181272380425
92.27064062000707,216.30933764970575,135.6080968198728,84.19152181872762,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_ACIDGAS.T.T_minus,0,perturb,ACIDGAS.T.T,-1,-0.20000000000000284
92.27064062000707,216.30933764970575,136.1080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B34.SPo.SPo_plus,0,perturb,B34.SPo.SPo,1,0.5
92.27064062000707,213.80933764970575,135.6080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B20.SPo.SPo_minus,0,perturb,B20.SPo.SPo,-1,-2.5
92.27064062000707,216.30933764970575,135.1080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B34.SPo.SPo_minus,0,perturb,B34.SPo.SPo,-1,-0.5
89.77064062000707,216.30933764970575,135.6080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B33.SPo.SPo_minus,0,perturb,B33.SPo.SPo,-1,-2.5
92.27064062000707,216.30933764970575,135.6080968198728,84.39152181872763,1.6761495387892669,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_ACIDGAS.P.P_plus,0,perturb,ACIDGAS.P.P,1,0.004999999999999893
94.77064062000707,216.30933764970575,135.6080968198728,84.39152181872763,1.671149538789267,40.13637557,45.40793324,54.95221027,599.9999588,1219.506406,1.622195,1.571315,1.411445,1.251615,1.361375,1.520795,1.200915,single_air2_low_base_00000_B33.SPo.SPo_plus,0,perturb,B33.SPo.SPo,1,2.5
